	ID по указалю	Wikidata	Комментарий из ПСС	geo																
Орфанидэ Эмиль	10285		Эмиль Орфанидэ, ученик 4-го класса гимназии. 17 лет, сын служащего, просил Толстого прислать его книг на французском языке, чтобы он «мог совершенствоваться в непротивлении злу»																	
Орловы-Давыдовы	10282	Q4336938																		
Ормонд Джемс Бетлер	10283		Лорд																	
Орловский Р.	10280		Р. Орловскому — на письмо от 11/23 апреля ответила T. Л. Толстая.																	
Орловы, графы	10281		Братья графы Орловы: Иван Григорьевич (1733—1791), Григорий Григорьевич (1734—1783), фаворит Екатерины II, Алексей Григорьевич (1737—1808), Федор Григорьевич (1741—1796) и Владимир Григорьевич (1743—1831).																	
Черверухина А. Д.	15196		после 1-го января в разное время получено на имя Л. Н. иТ. Л. Толстых:от.....А. Д. Четверухиной 2 р., 																	
«Голос», журнал	3562		Редактору журнала «Голос» (Харьков), 8—9? февраля. В письмо от 6 февраля редактор литературно-научного иллюстрированного журнала «Голос», студент Н. В. Могучий, просил написать несколько строк о писателе Павле Владимировиче Засодимском (1843—1912) по случаю сорокалетия его литературной деятельности. Редакция журнала предполагала посвятить этому юбилею специальный номер.																	
«Голос безмолвия. Семь врат. Два пути. Из сокровенных индусских писаний»	3563		Значительный материал доставил Толстому журнал «Theosophischer Wegweiser», откуда им были переведены:... восемь мыслей из «Голоса безмолвия» («Th. W.» 1903, № 4 Februar, S. 131—134) 																	
«Голос» (газета А. А. Краевского)	3560		 Газета «Голос» в № 234 от 25 августа, оперируя выдержками из письма Толстого о Самарском голоде , расценила его как явление большого общественного значения. 																	
«Голос», газета (изд. 1906 г.)	3561		Ежедневная политическая и литературная газета «Голос», орган эсеров, выходила в Петербурге с 27 апреля по 10 июня 1906 г.																	
Голоушев Николай Алексеевич	3566		пристав 2 стана Крапивенского уезда.																	
Голохвастов Дмитрий Дмитриевич	3567		Дмитрий Дмитриевич Голохвастов (ум. 1890), помещик Звенигородского уезда Московской губ. и земский деятель.																	
«Голос Москвы», газета	3564		Наиболее обширные извлечения из статьи Толстого «Не убий никого» были сделаны «Голосом Москвы», опубликовавшем около половины всего материала.																	
«Голоса из России» (изд. Герцена)	3565		 в «Голосах из России» Герцена  на литературное поприще Чичерин выступил со статьями, распространявшимися в рукописном виде и напечатанными в 1856 г.																	
Гаибов Аббас-Ага	3034		секретарь Закавказского мусульманского духовного правления.																	
Голохвастов Павел Дмитриевич	3568		Павел Дмитриевич Голохвастов (1838—1898), историк и фольклорист.																	
Голохвастова Ольга Андреевна	3569		Ольга Андреевна Голохвастова (ум. 1894), дочь Андрея Николаевича Карамзина (сына писателя) и поэтессы Евдокии Петровны Растопчиной, драматическая писательница и беллетристка, жена П. Д. Голохвастова.																	
Догель Иван Михайлович	4484	Q4164054																		
Додолин Н. И.	4485		Н. И. Додолину (Юхнов, Смоленской губ.), 30 января. Ответ на письмо от 20 января, в котором Додолин просил одолжить триста рублей для покрытия растраченных казенных денег, указывая, что растрату произвел «с целью спасения своей сестры от позора».																	
Додэ Альфонс	4486	Q228546																		
Додэ Леон	4487		 французский писатель  (1867—1942)																	
Суховерхов Павел Михайлович	13391		8 марта 1906 г. Павел Михайлович Суховерхов писал, что, находясь в японском плену, читал произведения Толстого и просил выслать ему ряд религиозных книг.																	
Былины о Добрыне:	4481		«Добрыня и Маришка»	«Добрыня и змей» «Добрыня и Василий Казимиров», «Добрыня в отъезде» и «Бой Добрыни. Добрыня и Алеша»																
Довнар-Запольский Митрофан Викторович	4482		(1867—1934), историк и этнограф, доктор русской истории.																	
Довсин Казимир Б.	4483		К. Б. Довсину, 17 апреля.	Довсин возражал против идеи «самоусовершенствования»																
Веселов Алексей Захарович	2489		А. З. Веселову (ст. Окуловка Николаевской ж. д.), 17 сентября.				Веселов спрашивал Толстого, чем объяснить, что он до сих пор не получил ответа на свое письмо.													
Дозоров Семен Николаевич	4488		(р. 1867) — сын крестьянина. Самоучка. Был рабочим в Петербурге и Кронштадте, затем открыл колбасную кустарную фабрику, которая пришла в упадок из-за отсутствия средств.																	
Дозье	4489		Дозье (Dozier) — на письмо от 8 февраля ответила М. Л. Толстая.																	
Вревский Павел Александрович	2903	Q4127047																		
Врбна Рудольф	2902		граф																	
«Врач», газета	2901		еженедельная медицинская газета, издававшаяся в 1880—1902 гг. в Петербурге. Издатель Карл Леопольдович Риккер; редактор — Вячеслав Авксентьевич Манасеин.																	
Врангель Николай Николаевич	2900		(1880—1915) — буржуазный историк искусства формалистически-эстетского направления, один из участников журналов «Старые годы» и «Аполлон».																	
Архангельский Федор Сергеевич	708		доктор																	
Архангельское (под Москвой)	709	Q2861586																		
Вриенний, митрополит	2905		никомидийский митрополит	,нашедший «Учение 12 апостолов» — один из древних памятников церковной письменности  в библиотеке иерусалимского монастыря в 1875 г.																
Гай Плиний Секунд-старший	3035		римский писатель, погибший при извержении Везувия, автор сочинения в 37 книгах «Historia naturalis» («Естественная история»).																	
Архангельский Андрей Дмитриевич	704	Q2426448																		
Архангельский Константин	705		(р. 1887) — жил в 1905 г. в Москве.																	
Архангельский Николай Николаевич	706		медик 5-го курса																	
Всеволожские	2908	Q4127301																		
Архангельская (жена П. А. Архангельского)	700		жена П. А. Архангельского, управляющего самарским имением Толстого.																	
Архангельский Александр Владимирович	701		(1888—1916) — автор ряда статей по вопросам воспитания, вегетарианства и нравственности.																	
Архангельский Александр Иванович (псевдоним — Бука)	702		(1857—1906). В 1880-х гг. работал ветеринарным фельдшером в Бронницком земстве Московской губ. Став последователем Толстого, порвал со службой и занялся литературой. Автор сочинения «Кому служить?» (под псевдонимом «Бука»).																	
Архангельский Алекс. Михайлович	703		сын свящ[енника]																	
Ротницкий А. Д.	11883		В письме от 11 июня А. Д. Ротницкий писал, что руководители детских развлечений в Туле хотят устроить прогулку в Ясную Поляну.																	
Ротер Чарльз	11882		Чарльзу Ротеру (Charles Rotter, Англия), 29 января. Ответ на письмо от 24 января н. ст. с просьбой ответить на ряд вопросов по поводу письма Толстого к Сенкевичу 1907 г.																	
Рот Федор Филиппович	11881		генерал-майор, комендант города Тифлис.																	
Рот Логин Осипович	11880	Q4398596																		
Роу Берти (Ро, Rowe)	11887		англичанин, член земледельческой колонии, поставившей своей задачей жить без употребления денег.																	
Ротшильд Мейер Ансельм	11886	Q76988																		
Ротшильд	11885	Q159386																		
Роттердам	11884	Q34370																		
Флоренция	14615	Q2044																		
Флорентийский собор	14614	Q321032																		
Роулинсон Роберт (Rowlinson)	11889		Хлопковый голод в Англии. Сэр Роберт Роулинсон. 11. Болтонс. Южный Кенсингтон. Лондон. Ю. 3																	
Роулей Ч.	11888		полемика Ч. Роулея, Д. Кремера, П. Рэдферна и Моода по поводу статьи Толстого «Обращение к духовенству».																	
Флинт Иошиа (Flynt, псевдоним — Виллард)	14611		В своих мемуарах «Му Life», изданных под псевдонимом Виллард (Willard), Флинт рассказывает о знакомстве с Толстым, о пребывании в Ясной Поляне, но ряд противоречий в фактах, и датах заставляет сомневаться в достоверности этого описания.																	
Флетчер Джон	14610	Q312444																		
Флобер Гюстав	14613	Q43444																		
Флит, корабельный мастер	14612		немец																	
Захаров Павел Денисович	5319		фельдшер из села Сватов Лучок, Харьковской губ																	
Захаров Осип	5318		о битье кнутом и урезании языка келейнику Осипу Захарову за рассказ его о том, как во сне пришед стар человек с бородою говорил ему, Осипу: «государя де в Москве нет, а которой государь на Москве и есть, и это де не государь, антихрист»																	
Стыка Ян	13309	Q708238																		
Захава	5313		ездил по найму дачи  и б[ыл] на Козловке. Захава дом занят																	
Заузе	5312		  учитель гимназии Заузе (1856—1889)																	
Зауербрай М.	5311		М. Зауербрай в письме от 21 июня из Полтавы упрекала Толстого за «Крейцерову сонату», якобы бросающую тень на женщин.																	
Затлер Федор Карлович (Задлер)	5310		Затлер Федор Карлович (1805—1876) — ген.-майор и военный писатель																	
Захаров Н. А.	5317		Н. А. Захарову (Петербург), 12 марта. Ответ на письмо от 18 февраля (почт, шт.) с просьбой указать название статьи Толстого «о современных событиях с мнением о том, каков строй желателен для России»																	
Захаров Михаил Петрович	5316		Михаил Петрович Захаров (р. 1880) — гальванер-матрос, по специальности слесарь, из крестьян Владимирской губ.																	
Захаров Егор Иванович	5315		Солдат																	
Захаров (рекрут)	5314		Рекрутик Захаров — о нем нет никакого материала.																	
Сороки Бессарабской губ.	13023			48.160079, 28.296482																
Сорбье Жан Бартелеми	13022	Q1653364																		
Сорашкевич Фелиция Александровна	13021		Фелиция Александровна Сорашкевич, жена Чаги, 5 марта 1904 г. послала Толстому из Александровска в Москву телеграмму: «Пожалуйста похлопочите Чаге разрешение Якутск жить ради детей».																	
Сопраньков Иван Исаевич	13020		железнодорожный служащий																	
Сорренто (Италия)	13027			40.614482, 14.379998																
Сороковетово Калужской губ.	13026			53.624246, 36.416848																
Сорокина Любовь	13025		железнодорожный служащий																	
Сорокин Антон	13024		Антон Сорокин — в 1906 г. жил в Омске; возможно, что он был сыном некоего Сорокина, который упоминается в письмах Е. Е. Гончаренко																	
Соснецкий И., «История русской литературы. Курс гимназический»	13029		Иван Соснецкий... характер практ[ический]. — Выписано из книги Ив. Соснецкого «История русской литературы. Курс гимназический», М. 1870, стр. 68.																	
Сосенские Постоялые дворы Калужской губ.	13028		Сосенских двор[ов] от Казармы влево — 3 в[ерсты] до Красн[ого] Клина																	
Чернышев Иван Григорьевич	15264	Q3156115																		
Гейне Генрих	3214	Q44403																		
Буйнак, река	1987		въ Дагестане																	
Гейтс Сюза-Юнг	3216		Письмо из Гонолулу с почтовым штемпелем получения: «Тула 10 ноября 1888 г.» от дочери Бригама Юнга, главы американской секты мормонов, Сюзы Юнг Гейтс, приславшей Толстому книги о мормонах.																	
Гасан	3153		брат Ахмет Хана																	
Гарьянова Л.	3152		Л. Гарьянова из Нижегородской губ. обратилась к Толстому с письмом от 21 января 1910 г., в котором сообщала, что посылает вырезку из газеты «Нижегородский листок» 1900 г. с письмом немецкого солдата Толстому.																	
Попов И. М., «Ичкерия»	11089		Запись по статье И. М. Попова «Ичкерия», вып. IV, отд. I, стр. 13: «Аварцы, опустошив часть аула, уже отступали обратно, когда Бэрсан догнал главу партии и выстрелом																	
Попов И. М.	11088		И. М. Попову. Марта 21. Отмечено в Списке М. Л. Толстой 21 марта.																	
Гастев Емельян Спиридонович	3157		торговец в небольшой деревне Дворики, расположенной на шоссе, в 3 километрах от Ясной Поляны																	
Гассельблат Ю.	3156		Ю. Гассельблату — на письмо из Петербурга от 19 мая с присоединением экземпляров своих драматических сочинений отвечено T. Л. Толстой на основании пометы Толстого: Благодарить за присылку книги.																	
Гаспра	3155			44.430252, 34.105761																
Гаскелль Э. (Haskel)	3154		 писательница																	
Попов Е. (из Канады)	11083		В письме от 6 апреля Е. Попов писал: «Спешим застать Вас живыми, поблагодарить и порадовать за Вашу многа любовь к правде».																	
Бузов	1982		Дворянин																	
Гастева Анна Алексеевна	3159		По всей вероятности, Анна Алексеевна Гастева (ум. около 1927 г.), была зa мужем за николаевским солдатом, сын ее умер в сумасшедшем доме. После смерти мужа побиралась.																	
Гастев Петр Николаевич	3158		Петр Николаевич Гастев (р. 1866), участник тверской и кавказских земледельческих общин. В 1891—1892 гг. сотрудничал с Толстым в организации помощи голодающим.																	
Попов Евдоким	11087		В письме от 19 июня н. ст. канадский духобор Евдоким Попов сообщал, что некоторые духоборы вышли из общины, так как не хотели соблюдать обряды и не считали, что только духоборы обладают способностью делать добро.																	
Попов Евгений Иванович	11086	Q4372494																		
Попов Евгений (ученик из Полтавы)	11085		11 января 1906 г. Евгений Попов, ученик 7-го класса Полтавской мужской гимназии, просил разъяснить, чему верить: листку, выпущенному украинской социал-демократической партией, якобы написанному Толстым, или его письму к Л. Л. Толстому, помещенному в «Новом времени»,																	
Гейкей Джон Кунингам (Geikie)	3211		Джон Кунингам Гейки (John Cunningham Geikie, 1824—1906) — английский ученый богослов, отличавшийся известной широтой своих религиозных взглядов.																	
Перовский Василий Алексеевич	10648	Q2632764																		
Бужинский Валерьян Игнатьевич	1980		В письме от 8 августа В. И. Бужинский просил разъяснить неясную для него мысль в «Круге чтения».																	
Бузео (Валахия)	1981	Q389004																		
Бергштрессер Максим Карлович	1260		В письме от 19 сентября 1900 г. Бергштрессер просил разрешения на свидание																	
Санс (Франция)	12248			48.199106, 3.282606																
Бойцов Петр Васильевич	1639		повар																	
Перовский Лев Алексеевич	10649	Q1821977																		
Дубовка Саратовской губ.	4654			50.854021, 46.025687																
Газлит Вильям	3032		английский историк литературы Вильяма Газлита (Hazlitt) 																	
Сумбатов Александр Иванович (Южин)	13358		Александр Иванович Сумбатов, по сцене Южин — выдающийся актер, драматург и писатель																	
Перовский	10646		Кого из четырех братьев Перовских: Льва, Василия, Алексея или Бориса Алексеевичей — имеет здесь в виду Толстой и какой эпизод из их жизни, сказать трудно.																	
Петровск (Петровский Порт) Дагестанской обл.	10745		С месяц тому назад я получил из Петровского Порта статью о жизни в дисциплинарном батальоне.																	
Сильвер Чарльз	12628		В письме от 30 апреля н. ст. (из США) Чарльз Сильвер просил разрешения прислать свою книгу «Twentieth Century Conduct»																	
Оголин (брат А. П. Оголина)	10078		Издержано. Оголину — долгъ 2—80																	
Березкин Ефрем Андреевич	1266		 Учитель школы, организованной Олсуфьевыми																	
Филиппушка	14552		Филипушка и Анюта- дети-сироты																	
Перовский Борис Алексеевич	10647	Q4351672																		
Дубонос К. А.	4656		В письме от 5 декабря приказчик К. А. Дубонос просил перевести и переслать прилагаемое письмо Рокфеллеру.																	
Храневич В., «Ф. М. Достоевский по воспоминаниям ссыльного поляка»	15014		прочитав в журнале «Русская старина» воспоминания В. Храневича о Достоевском, Толстой высказал желание, чтобы в «Путь жизни» были включены мысли Достоевского																	
Дантон Жорж	4179	Q184623																		
Марта (англичанка)	8574		Мисс Марта — англичанка-гувернантка у Толстых																	
Мартен Анри (Martin)	8575		французский философ Анри Мартен(1813—1884)																	
Мартенс Федор Федорович	8576	Q537519																		
Мартин Карлос (Martyn)	8577		Карлос Мартин (Carlos Martyn, 1843—1917), американский пастор.																	
Марсден Виктор Е.	8570		корреспондент лондонской газеты «Standart»																	
Марсель	8571	Q23482																		
«Марсельеза»	8572	Q41180																		
Марсиянов	8573		Некто Марсиянов просил Толстого сообщить художнику Н. В. Орлову, что он арестован и сидит в тюрьме в Туле.																	
Херман Макс (Herman)	14884		Максу Херману (Max Hermann), начало декабря — на письмо от 21 ноября н. с. с просьбой ответить, верно ли сообщение М. Кротвица, находившегося на службе у Толстого с 1866 по 1870 г., что латинская книга, которую Кротвиц нашел среди различного хлама в книжных лавках Петербурга и купил за несколько копеек, принадлежала якобы Мартину Лютеру.																	
Мартино Гарриэт	8578		Мартино	Неверие не в том, что человек верит или не верит, а в том, что человек исповедует то, во что он не верит																
Мартиньи (Швейцария)	8579			46.100967, 7.072373																
Сехин Михаил	12578		младший брат Епишки																	
Сецинская X. Н.	12579		При письме от 25 апреля из Молодечно X. Н. Сецинская прислала на отзыв рукопись своего романа «Накануне».																	
Храповицкий Михаил Васильевич	15015	Q15149376																		
Булгаков Константин Яковлевич	2015	Q4098842																		
Черноусова Прасковья	15252		в деле Петра Яковлева о «затейных словах» (оговоре) на Прасковью Черноусову, приведены непристойные слова, якобы ею сказанные: «та-де Прасковья на Москве была и ее-де Прасковью государь за плечо держал и она-де ему отказала»																	
Сестенор Рене	12573		В письме от 24 сентября 1907 г. Рене Сестенор, француз, проживавший в Казанской губ., спрашивал, как ему поступать.																	
Серпухов Московской губ.	12570			54.913536, 37.416763																
Серюковка Тульской губ.	12571			51.963198, 39.121137																
Сехин Епифан (Епишка, Япишка)	12576		Епифан Сехин (р. ок. 1770 г. — ум. ок. 1860 г.), гребенской казак из станицы Старогладковской, с которым дружил Толстой в годы своего пребывания на Кавказе и которого изобразил в «Казаках» под именем «дяди Ерошки»																	
Сехин Лука Алексеевич (Лукашка, Марка)	12577		Лука Алексеевич Сехин, гребенской казак, племянник Епишки.																	
Сетунь, река	12574	Q1323230																		
Сехин Дмитрий Михайлович	12575		внучатный племянник дяди Епишки, старогладковский казак, бывший полицмейстер, подполковник Д. М. Сехин.																	
Курдюков Стефаний	7409		Стефаний Курдюков в письме от 8 марта 1910 г. писал, что он прибыл из деревни в Москву для заработка несколько месяцев тому назад и до сих пор, несмотря на все старания, не может никуда поступить																	
Курдисов Андрей Степанович	7408		В письме от 17 августа (почт. шт.) из Киева Курдисов писал о своем намерении поехать к духоборам в Канаду и просил помочь ему в этом.																	
Курбатов (фотограф)	7405		Тверская фот[ография] Курбат[ова].																	
«Курал», сборник	7404		Душа не живет в теле, как в доме, а как живет странник на пути в чужом пристанище.					Курал.												
Курбский Андрей Михайлович	7407	Q381373																		
Курбатов Алексей Александрович	7406	Q4247893																		
Куницын Ф. С.	7401		В письме от 6 февраля крестьянин Ф. С. Куницын жаловался на неправильный раздел в семье, просил совета и помощи.																	
Кунгур Пермской губ.	7400	Q1072262																		
Куны (семья А. В. Куна)	7403		Семейство Александра Владимировича Куна (1842—1916), генерала-от-артиллерии, начальника Тульского оружейного завода.																	
Кунцов Александр Григорьевич	7402		(р. 1883) — крестьянин с. Касли Пермской губ																	
Дубенский Иван Иванович	4650		калужский доктор медицины Иван Иванович Дубенский (1854—1917)																	
Вольта Алессандро	2815	Q680																		
Южный Валлис (Уэльс)	16059	Q25																		
«Южная жизнь», газета	16058		В №№ 1—4 харьковской газеты «Южная жизнь» от 12, 13, 14 и 17 октября 1906 г. была напечатана, за подписью: Петр Гайда, статья под названием: «В Ясной поляне. (Впечатления туриста)».																	
Аншина А. Ф.	569		земская учительница																	
Юдин Федор Дмитриевич	16055		Ответ на письмо крестьянина Харьковской губ. Федора Дмитриевича Юдина от 23 декабря 1909 г. с вопросами: «Как жить, чему учиться, как учиться, что читать?»																	
Юдин Сергей Федорович	16054		Юдин просил материальной помощи для поступления в фельдшерскую школу																	
Южная Америка	16057	Q18																		
Южаков Сергей Николаевич	16056	Q4533875																		
Юдин Г. В.	16051		Г. В. Юдину — на письме от 13 ноября с просьбой указать точное название «брошюры Angèle Françoise», о которой Толстой писал в статье, опубликованной в «Неделе»																	
Юдин, купец	16050		Ясенковский купец. Толстой занимал у Юдина овес для крестьян, пострадавших от пожара.																	
Юдин Иван Корнилович	16053		И. К. Юдину — на письмо от 20 сентября ответила М. Л. Толстая.																	
Юдин Дмитрий Алексеевич	16052		Записка в лавку Дмитрия Алексеевича Юдина, находившуюся на шоссе против деревни Ясенки, отпустить заимообразно, до осени, овса для посева крестьянам деревни Телятинки, пострадавшим от пожара.																	
Вольтер Франсуа Мари Аруэ	2816		Франсуа Мари Аруэ Вольтер (1694—1778), французский писатель-сатирик XVIII века, подвергавший критике учение церкви и быт католического духовенства.																	
Козлов Л. Е.	6628		В письме от 1 февраля (почт. шт.) старообрядец Козлов упрекал Толстого за его «хулу на всю святыню христианскую» и напоминал о «страшном суде божьем»																	
Сикст V	12618	Q133350																		
Козлов Иван Иванович	6626		поэт																	
Сиксне Карл Петрович	12616		Карл Петрович Сикснэ (1884—1908) — крестьянин Псковской губ., латыш.																	
Козлов Даниил Давыдович («Данилка»)	6624		(1848—1920), крестьянин Ясной Поляны, ученик Толстого по Яснополянской школе.																	
Козлов Иван Андреевич	6625		И. А. Козлове редакции неизвестен. В письме от 7 февраля Козлов благодарил Толстого за содействие и сообщал, что с помощью А. И. Эртеля «получил место писца в городской управе».																	
Козлов Василий Акимович	6622		купец в Ростове-на-Дону																	
Сиклитикия Софья Петровна (? )	12612		Сиклитикія Софья Петровна барская барыня дурна собой		рыня дурна собой.															
Козлов Александр Александрович	6620		(1831—1901), профессор философии Киевского университета.																	
Козлов Александр Давыдович («Сашка»)	6621		Солдат																	
Булгаков Сергей Николаевич	2017	Q332535																		
Хомяков	14977	Q4499701																		
Ростовцев Николай Дмитриевич	11873		(1845—1921), член Острогожской уездной земской управы Воронежской губ., близкий друг В. Г. Черткова																	
Выборни Анна Семеновна	2935		жила в имении близ станции Лопасня.																	
«Хрестоматия, или избранные статьи для народного чтения»	15018		Христоматия, или избранные статьи для народного чтения. Изд. Общества распространения полезных книг. Москва, 1861. Два выпуска, в 8-ю д. л., в 1-м 343, во 2-м 349 стр. Цена каждому вып. 30 к.																	
Черкассы	15223	Q157055																		
Черкасский Михаил Алегукович	15222	Q4513100																		
Анучин Е. И.	564		Автор официального отчета о Самарском голоде																	
Черкасский Константин Александрович	15221		князь Константин Александрович (1819—1853), старший брат кн. Владимира Александровича Черкасского, помещик Веневского у. Тульской губ., один из самых блистательных представителей московской золотой молодежи, лишившийся всего состояния вследствие карточной игры и неудачных предприятий.																	
Берстель О. А.	1340		О. А. Берстель — на письмо от 5 января ответила С. А. Толстая.																	
Анучин Николай	565		В  письме к Толстому от 7 июня 1908 г. Н. Анучин излагал «те главные основы учения богочеловека Иисуса Христа, которые [он] познал в жизни своей». 																	
Филипьев Григорий Александрович («Никольский»)	14553		В письме от 4 апреля 1888 г. Чертков пишет Толстому: «Ледащий — Филипьева — прекрасный рассказ, касается как раз весьма важного для народа вопроса — его отношения к конокрадам, ворам и т. п																	
Черкасский Владимир Александрович	15220	Q1978355																		
Пермяков И. В.	10640		В письме от 4 мая (почт. шт) И. В. Пермяков прислал на отзыв рукопись своего маленького рассказа «Жизнь прошла». Спрашивал, есть ли у него «хоть маленькое дарование».																	
Лермина Ж. и Гальперин-Каминский И., «Résurrection» («Воскресение»)	7824		В 1901 г. вышел французский перевод «Воскресения», сделанный Гальпериным-Каминским. Тогда же французский драматург Жюль Лермина и Гальперин-Каминский переработали «Воскресение» в пятиактную пьесу «Résurrection»																	
Чермошня Тульской губ.	15227	Q3559590																		
Сахаров Сергей Васильевич	12298		С. В. Сахарову. 1893 г. Июня 22. Отмечено там же.																	
Хрипкова Надежда Николаевна	15019		8 января 1891 г. Толстой написал H. Н. Хрипковой письмо. Текст этого письма неизвестен, но, судя по ответу Хрипковой от 4 февраля 1891 г., Толстой просил ее не заставлять Шишкина вторично переносить его избу. H. Н. Хрипкова в своем письме ответила Толстому отказом в его просьбе.																	
Чермошенская волость Тульской губ.	15226		В Чермошенской волости 900 душ, и есть школа, но в школе учатся только до 30 учеников, так как все деревни волости разбросаны.																	
Вассарайс И. А.	2330		Вассарайс просил должность в одном из имений Толстого.																	
Вассиан, архимандрит	2331	Q54569446																		
Дусе Чарльз Камилл (Doucet)	4716		знаменитый академик																	
Темяшева Вера Александровна	13626		 дочь Темешова , Верочка, горбатая девочка, от бывшей крепостной его, отпущенной на волю девушки Марфуши																	
Васюков Семен Иванович	2334		3 июля 1906 г. Семен Иванович Васюков спрашивал, что ему делать с рукописью, в которой он описывал свою поездку к сектантам Ставропольской губ. и которую И. И. Горбунов-Посадов отказался напечатать.																	
Дурново Михаил Аполлонович	4711		полковник,жандарм	производил  обыск в Ясной Поляне																
Темников А.	13623		В письме от 5 октября А Темников прислал на отзыв свои стихи.																	
Дурова	4713		Вероятно, одной из сестер H. Н. Гимбут.																	
Ватцулик А. М.	2338		А. М. Ватцулику (A. М. Watzulik) (Альтенбург, Германия), середина июля; В письме (на немецком языке) от 22 июля н. ст. (почт. шт.) А. М. Ватцулик спрашивал, верно ли сообщение газет о том, что Толстого посетили восемьсот детей																	
Ваулин Сергей Семенович	2339		(р. 1878) — крестьянин Ярославской губ., сын рыбинского купца-хлебопромышленника. Служил в его петербургской конторе.																	
Черкашев Петр Ефимович	15224		Черкашев спрашивал Толстого, как поступить в фельдшерскую школу.																	
Тенисон А., «Спасенный», перевод А. П. Барыковой	13629		«Спасенный», повесть в стихах (из Теннисона) А. П. Барыковой, тип. И. Д. Сытина. М. 1888. Дозволено цензурой 21 января 1889. В «Правительственном вестнике» за 1889 г. (№ 81 от 15 апреля) эта книжка указана в списке книг, вышедших 9—15 марта 1889 г.																	
Дутлов Илья	4719		племянник Дутлова																	
Перна Александр (Эльмар) Яковлевич	10641		(1878—1916) — в то время студент петербургского Горного института, воспитатель сына В. Г. Черткова. С 1910 г. ассистент Горного института по кафедре палеонтологии; с 1914 г. помощник хранителя Музея при Горном институте.																	
Фохт Григорий Николаевич	14704		(1871? — 1909?), племянник М. С. Сухотина, сын его сестры Елизаветы Сергеевны Сухотиной																	
